idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"mov rax, [rbp+var_48]  | * | loc_100000D0A:  ",xcode,1
"mov [rbp+var_60], rax  | * | mov rax, [rbp+var_60] ",xcode,1
"loc_100000D0A:   | * | add rax, 4 ",xcode,1
"mov rax, [rbp+var_60]  | * | mov [rbp+var_60], rax ",xcode,1
"add rax, 4  | * | cmp rax, [rbp+var_50] ",xcode,1
"mov [rbp+var_60], rax  | * | jz loc_100000D66 ",xcode,1
"cmp rax, [rbp+var_50]  | * | mov rax, [rbp+var_58] ",xcode,1
"jz loc_100000D66  | * | mov rcx, [rbp+var_48] ",xcode,1
"mov rax, [rbp+var_58]  | * | mov rdx, [rbp+var_60] ",xcode,1
"mov rcx, [rbp+var_48]  | * | mov [rbp+var_28], rax ",xcode,1
